Epoch 97: Reached 5000 samples, ending early with 5068 samples.
Epoch 97, Mean Reward: 266.90
Epoch 98: Reached 5000 samples, ending early with 5023 samples.
Epoch 98, Mean Reward: 271.76
Epoch 99: Reached 5000 samples, ending early with 5063 samples.
Epoch 99, Mean Reward: 271.78
Epoch 100: Reached 5000 samples, ending early with 5022 samples.
Epoch 100, Mean Reward: 278.67
Epoch 101: Reached 5000 samples, ending early with 5011 samples.
Epoch 101, Mean Reward: 263.81
Epoch 102: Reached 5000 samples, ending early with 5056 samples.
Epoch 102, Mean Reward: 278.77
Epoch 103: Reached 5000 samples, ending early with 5047 samples.
Epoch 103, Mean Reward: 285.76
Epoch 104: Reached 5000 samples, ending early with 5004 samples.
Epoch 104, Mean Reward: 268.62
Epoch 105: Reached 5000 samples, ending early with 5052 samples.
Epoch 105, Mean Reward: 289.17
Epoch 106: Reached 5000 samples, ending early with 5040 samples.
Epoch 106, Mean Reward: 287.16
Epoch 107: Reached 5000 samples, ending early with 5034 samples.
Epoch 107, Mean Reward: 287.93
Epoch 108: Reached 5000 samples, ending early with 5060 samples.
Epoch 108, Mean Reward: 278.25
Epoch 109: Reached 5000 samples, ending early with 5072 samples.
Epoch 109, Mean Reward: 284.69
Epoch 110: Reached 5000 samples, ending early with 5000 samples.
Epoch 110, Mean Reward: 287.70
Epoch 111: Reached 5000 samples, ending early with 5048 samples.
Epoch 111, Mean Reward: 281.62
Epoch 112: Reached 5000 samples, ending early with 5014 samples.
Epoch 112, Mean Reward: 303.26
Epoch 113: Reached 5000 samples, ending early with 5027 samples.
Epoch 113, Mean Reward: 278.50
Epoch 114: Reached 5000 samples, ending early with 5030 samples.
Eval at 501152 samples: 265.66
Epoch 114, Mean Reward: 307.57
Epoch 115: Reached 5000 samples, ending early with 5013 samples.
Epoch 115, Mean Reward: 291.68
Epoch 116: Reached 5000 samples, ending early with 5015 samples.
Epoch 116, Mean Reward: 293.41
Epoch 117: Reached 5000 samples, ending early with 5005 samples.
Epoch 117, Mean Reward: 281.74
Epoch 118: Reached 5000 samples, ending early with 5027 samples.
Epoch 118, Mean Reward: 292.82
Epoch 119: Reached 5000 samples, ending early with 5012 samples.
Epoch 119, Mean Reward: 278.82
Epoch 120: Reached 5000 samples, ending early with 5060 samples.
Epoch 120, Mean Reward: 300.10
Epoch 121: Reached 5000 samples, ending early with 5002 samples.
Epoch 121, Mean Reward: 291.33
Epoch 122: Reached 5000 samples, ending early with 5005 samples.
Epoch 122, Mean Reward: 270.88
Epoch 123: Reached 5000 samples, ending early with 5033 samples.
Epoch 123, Mean Reward: 293.02
Epoch 124: Reached 5000 samples, ending early with 5036 samples.
Epoch 124, Mean Reward: 290.02
Epoch 125: Reached 5000 samples, ending early with 5019 samples.
Epoch 125, Mean Reward: 290.53
Epoch 126: Reached 5000 samples, ending early with 5041 samples.
Epoch 126, Mean Reward: 290.32
Epoch 127: Reached 5000 samples, ending early with 5057 samples.
Epoch 127, Mean Reward: 287.52
Epoch 128: Reached 5000 samples, ending early with 5014 samples.
Epoch 128, Mean Reward: 297.38
Epoch 129: Reached 5000 samples, ending early with 5011 samples.
Epoch 129, Mean Reward: 267.99
Epoch 130: Reached 5000 samples, ending early with 5044 samples.
Epoch 130, Mean Reward: 298.54
Epoch 131: Reached 5000 samples, ending early with 5010 samples.
Epoch 131, Mean Reward: 304.35
Epoch 132: Reached 5000 samples, ending early with 5000 samples.
Epoch 132, Mean Reward: 296.87
Epoch 133: Reached 5000 samples, ending early with 5014 samples.
Epoch 133, Mean Reward: 278.86
Epoch 134: Reached 5000 samples, ending early with 5028 samples.
Eval at 601598 samples: 291.71
Epoch 134, Mean Reward: 294.95
Epoch 135: Reached 5000 samples, ending early with 5010 samples.
Epoch 135, Mean Reward: 310.25
Epoch 136: Reached 5000 samples, ending early with 5007 samples.
Epoch 136, Mean Reward: 293.12
Epoch 137: Reached 5000 samples, ending early with 5077 samples.
Epoch 137, Mean Reward: 298.53
Epoch 138: Reached 5000 samples, ending early with 5020 samples.
Epoch 138, Mean Reward: 291.73
Epoch 139: Reached 5000 samples, ending early with 5011 samples.
Epoch 139, Mean Reward: 294.69
Epoch 140: Reached 5000 samples, ending early with 5000 samples.
Epoch 140, Mean Reward: 291.98
Epoch 141: Reached 5000 samples, ending early with 5041 samples.
Epoch 141, Mean Reward: 305.59
