Steps,Return_1k,Return_10k,Label,Gamma
120000,364.5076101571081,351.1886439882327,TRPO_gamma_0.99,0.99
200000,348.2938534886019,355.0194828963125,TRPO_gamma_0.99,0.99
320000,283.1295096244865,283.9193825916366,TRPO_gamma_0.99,0.99
400000,278.8809704834966,273.517032655889,TRPO_gamma_0.99,0.99
520000,261.57253973684607,271.2656716896457,TRPO_gamma_0.99,0.99
600000,272.4871529043454,271.86997876276075,TRPO_gamma_0.99,0.99
720000,269.81475683033767,268.14377807706927,TRPO_gamma_0.99,0.99
800000,271.4217415766596,278.6116819463861,TRPO_gamma_0.99,0.99
920000,283.0084714611036,291.3673205879868,TRPO_gamma_0.99,0.99
1000000,298.34461294661617,289.9540626416806,TRPO_gamma_0.99,0.99
1120000,300.096692673457,296.9202013072619,TRPO_gamma_0.99,0.99
1200000,307.96464776615636,300.8979600744748,TRPO_gamma_0.99,0.99
1320000,312.4862451268622,323.01674621129615,TRPO_gamma_0.99,0.99
1400000,326.3923704816955,315.3645601755775,TRPO_gamma_0.99,0.99
1520000,327.51492784753236,315.17427274411756,TRPO_gamma_0.99,0.99
1600000,320.62709610812806,329.76460566298204,TRPO_gamma_0.99,0.99
1720000,321.4055003918971,328.4750870913113,TRPO_gamma_0.99,0.99
1800000,329.0073552807876,331.72150883612414,TRPO_gamma_0.99,0.99
1920000,329.57138821922433,332.39569726960656,TRPO_gamma_0.99,0.99
2000000,345.4121199433465,333.20695294429896,TRPO_gamma_0.99,0.99
2120000,348.36831334910664,360.5391067310293,TRPO_gamma_0.99,0.99
2200000,353.63417328523,371.9161561888703,TRPO_gamma_0.99,0.99
2320000,360.90239449007674,360.0754422653463,TRPO_gamma_0.99,0.99
2400000,365.80347174875664,370.7666106841297,TRPO_gamma_0.99,0.99
2520000,391.3924900747341,377.75192257716475,TRPO_gamma_0.99,0.99
2600000,525.1745650271514,488.52391628609496,TRPO_gamma_0.99,0.99
2720000,595.7622098840881,631.6457098435701,TRPO_gamma_0.99,0.99
2800000,658.432513088336,602.2152443172362,TRPO_gamma_0.99,0.99
2920000,650.0810353778195,699.8630655076623,TRPO_gamma_0.99,0.99
3000000,654.997980257307,660.5766867815016,TRPO_gamma_0.99,0.99
3120000,708.4089958109699,655.3477215789379,TRPO_gamma_0.99,0.99
